z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
3.699999999999999956e-01,1.000000000000000000e+00,1.463483509931317317e-01,8.176632187675952554e-03,8.178183494103924769e-03,5.296136534259008704e-05,4.330456045634877862e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.526737100240096179e-01,8.441592958120847784e-03,8.443179406777958848e-03,5.266523641188348271e-05,4.445784888323252746e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.592724589946988845e-01,8.707531925805979747e-03,8.709151368563228593e-03,5.234541999113733504e-05,4.557994157425508912e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.661564141608184442e-01,8.973395825877240189e-03,8.975045664352235622e-03,5.200025176852258497e-05,4.666188421642261494e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.733379024913548339e-01,9.238003629119639903e-03,9.239680774901483373e-03,5.162799190717262844e-05,4.769395766026201395e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.808297837423337162e-01,9.500042370481612611e-03,9.501743206046724816e-03,5.122682955392084304e-05,4.866570512676877043e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.886454734845430248e-01,9.758064995352909790e-03,9.759785336810683498e-03,5.079488928317560332e-05,4.956598310569825022e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.967989671265430451e-01,1.001049082081929137e-02,1.001222588388971622e-02,5.033023979859045676e-05,5.038304035134235270e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.053048649759813549e-01,1.025560928666130120e-02,1.025735365757473976e-02,4.983090524090858219e-05,5.110462945514013658e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.141783983840887806e-01,1.049158774039193887e-02,1.049333535370736321e-02,4.929487947153304736e-05,5.171815531276344168e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.234354570201737278e-01,1.071648405422535519e-02,1.071822817987791270e-02,4.872014371538703806e-05,5.221086432455128791e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.330926173249537325e-01,1.092826489928039151e-02,1.092999814147431817e-02,4.810468795022668475e-05,5.257007728172986467e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.431671721936762010e-01,1.112483049076675237e-02,1.112654480160499976e-02,4.744653641879144497e-05,5.278346750330461966e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.536771619421803736e-01,1.130404655208206398e-02,1.130573326303861877e-02,4.674377761033487056e-05,5.283938381273967012e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.646414066113516039e-01,1.146378410816650643e-02,1.146543398262545727e-02,4.599459900375833836e-05,5.272721531207758974e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.760795396678142333e-01,1.160196749021194865e-02,1.160357080027138096e-02,4.519732677973771734e-05,5.243779159430028868e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.880120431612111509e-01,1.171663059599955398e-02,1.171817722651821714e-02,4.435047058742871230e-05,5.196380806316455281e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.004602844010243468e-01,1.180598098609903640e-02,1.180746056848819628e-02,4.345277328599986613e-05,5.130026152077865631e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.134465542186142262e-01,1.186847079474196397e-02,1.186987287221630792e-02,4.250326536625953435e-05,5.044487636806188790e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.269941068829917974e-01,1.190287269403015116e-02,1.190418691887284823e-02,4.150132348806833088e-05,4.939849701122407160e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.411272017418006119e-01,1.190835828506576523e-02,1.190957464689079010e-02,4.044673224230443471e-05,4.816541790014826191e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.558711466620742558e-01,1.188457533466265141e-02,1.188568441665428105e-02,3.933974786260259260e-05,4.675361971197345509e-07
