z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,1.163677677681911549e+00,-1.800280501489726938e-03,-1.800256523632470795e-03,2.383429275298448499e-05,-4.290841250999587249e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.213973284414793241e+00,-1.787149064691129869e-03,-1.787107097246399753e-03,1.940556968679209917e-05,-3.468064571554904259e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.266442730265795458e+00,-1.779848636191152167e-03,-1.779785242560161284e-03,1.572439429702279760e-05,-2.798704174448795657e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.321179971284331733e+00,-1.779015470760587090e-03,-1.778926741049030851e-03,1.267152928856023191e-05,-2.254284664254454869e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.378283024417950919e+00,-1.786154466421758721e-03,-1.786035568252739838e-03,1.014219504305953369e-05,-1.811552697548140678e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.437854143029440479e+00,-1.803959314007497032e-03,-1.803803669483918697e-03,8.046605031584646176e-06,-1.451574809286671189e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.500000000000000000e+00,-1.836824561825527212e-03,-1.836622517587097742e-03,6.309613861966755020e-06,-1.158965371729535764e-08
3.699999999999999956e-01,1.000000000000000000e+00,1.000000000000000056e-01,7.423429876103944218e-03,7.421096813366429186e-03,8.109396556165309768e-05,6.019953667221199819e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.043221252497575080e-01,7.704364546149561344e-03,7.701952836814802972e-03,8.085249608335710989e-05,6.229171042923127629e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.088310581662609300e-01,7.992352931061515522e-03,7.989861974078497561e-03,8.059071363335618382e-05,6.441094263238935382e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.135348728108431654e-01,8.287082173468549723e-03,8.284511674209094415e-03,8.030700549046553330e-05,6.655107536046779350e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.184419922158806843e-01,8.588158036516808924e-03,8.585508054785865456e-03,7.999964839621988505e-05,6.870496232925148446e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.235612034677590898e-01,8.895095589601630104e-03,8.892366592247111234e-03,7.966680424731036980e-05,7.086438390979068187e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.289016734417433585e-01,9.207309399785961607e-03,9.204502318008534259e-03,7.930651629576398380e-05,7.301996329542662090e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.344729652169289191e-01,9.524103324900138820e-03,9.521219616274377920e-03,7.891670603358434059e-05,7.516108623246274369e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.402850552006674190e-01,9.844660044622706441e-03,9.841701759722997628e-03,7.849517097007674600e-05,7.727582733449427075e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.463483509931317317e-01,1.016803051453582518e-02,1.016500036790983150e-02,7.803958354519014513e-05,7.935088668291612722e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.526737100240096179e-01,1.049312358609042276e-02,1.049002503113240399e-02,7.754749146086466129e-05,8.137154116901446970e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.592724589946988845e-01,1.081869610327963922e-02,1.081553341032105361e-02,7.701631975439170207e-05,8.332161584157762654e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.661564141608184442e-01,1.114334386496020936e-02,1.114012220160921079e-02,7.644337498272953243e-05,8.518348136306519362e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.733379024913548339e-01,1.146549393003792709e-02,1.146221944245796182e-02,7.582585193383111150e-05,8.693808450872951773e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.808297837423337162e-01,1.178339884027399323e-02,1.178007873369004040e-02,7.516084332919826876e-05,8.856501941192901995e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.886454734845430248e-01,1.209513344038047784e-02,1.209177605663793245e-02,7.444535302943729030e-05,9.004264789072771126e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.967989671265430451e-01,1.239859508409813134e-02,1.239520997357373804e-02,7.367631329930098949e-05,9.134827758871869733e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.053048649759813549e-01,1.269150812305722825e-02,1.268810610764013400e-02,7.285060672754738956e-05,9.245840670523152107e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.141783983840887806e-01,1.297143367515942759e-02,1.296802689839102532e-02,7.196509342602732393e-05,9.334904363023652153e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.234354570201737278e-01,1.323578575104709075e-02,1.323238771085385491e-02,7.101664414680311618e-05,9.399610866854385191e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.330926173249537325e-01,1.348185486789533691e-02,1.347848042669180270e-02,7.000217994969975210e-05,9.437592305181449707e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.431671721936762010e-01,1.370684028276527786e-02,1.370350564909010409e-02,6.891871901818209074e-05,9.446578740749996923e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.536771619421803736e-01,1.390789191304700120e-02,1.390461458837366319e-02,6.776343115021606924e-05,9.424464760944073279e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.646414066113516039e-01,1.408216285573723851e-02,1.407896153974597976e-02,6.653370033299994737e-05,9.369384034841241705e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.760795396678142333e-01,1.422687314459979493e-02,1.422376759209384271e-02,6.522719563534463895e-05,9.279790378820415894e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.880120431612111509e-01,1.433938496791310573e-02,1.433639579081546177e-02,6.384195040766990972e-05,9.154543039979959239e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.004602844010243468e-01,1.441728898455011364e-02,1.441443739314466829e-02,6.237644945581707423e-05,8.992992976346984139e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.134465542186142262e-01,1.445850060329393651e-02,1.445580808220227505e-02,6.082972344110515440e-05,8.795065930714222363e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.269941068829917974e-01,1.446136412142869261e-02,1.445885203786589392e-02,5.920144924782608497e-05,8.561337140890938403e-07
